St,Location,Latitude,Longitude,Epoch (of local index),Local Index 'u' (meters above MHHW),u trend (meters/year),flood_metric,water_level_value
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.1yrRL (meters),0.209
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.2yrRL(m),0.252
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.3yrRL(m),0.277
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.4yrRL(m),0.295
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.5yrRL(m),0.309
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.6yrRL(m),0.319
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.7yrRL(m),0.329
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.8yrRL(m),0.337
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,0.9yrRL(m),0.344
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1yrRL(m),0.351
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.1yrRL(m),0.357
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.2yrRL(m),0.362
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.3yrRL(m),0.367
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.4yrRL(m),0.372
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.5yrRL(m),0.377
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.6yrRL(m),0.381
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.7yrRL(m),0.385
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.8yrRL(m),0.388
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,1.9yrRL(m),0.392
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,2yrRL(m),0.395
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,5yrRL(m),0.457
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,10yrRL(m),0.506
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,15yrRL(m),0.536
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,20yrRL(m),0.558
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,25yrRL(m),0.575
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,30yrRL(m),0.589
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,35yrRL(m),0.601
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,40yrRL(m),0.611
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,45yrRL(m),0.621
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,50yrRL(m),0.629
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,55yrRL(m),0.637
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,60yrRL(m),0.644
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,65yrRL(m),0.651
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,70yrRL(m),0.657
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,75yrRL(m),0.663
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,80yrRL(m),0.668
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,85yrRL(m),0.673
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,90yrRL(m),0.678
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,95yrRL(m),0.682
1612480,"Mokuoloe, HI",21.433,-157.79,1983-2001,0.265,0.002,100yrRL(m),0.687
